Rk,Player,Pos,Age,Tm,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,James Harden\hardeja01,SG,31,TOT,26,26,37.8,7.8,16.2,.483,3.1,7.9,.388,4.7,8.2,.575,.579,6.2,7.0,.880,0.7,6.6,7.3,11.1,1.1,0.7,4.1,2.2,24.9
2,Julius Randle\randlju01,PF,26,NYK,31,31,36.8,8.1,16.8,.481,1.8,4.5,.410,6.3,12.4,.507,.535,5.2,6.5,.805,1.4,9.6,11.0,5.5,0.7,0.2,3.3,3.2,23.2
3,Fred VanVleet\vanvlfr01,SG,26,TOR,31,31,36.6,6.8,16.6,.408,3.3,8.7,.376,3.5,7.9,.443,.507,3.3,3.6,.894,0.7,3.6,4.4,6.6,1.7,0.7,2.1,2.4,20.1
4,Jerami Grant\grantje01,SF,26,DET,30,30,36.4,7.8,17.8,.437,2.5,6.7,.376,5.3,11.1,.474,.508,5.4,6.1,.885,0.8,4.3,5.1,3.0,0.8,1.2,1.8,2.8,23.5
5,Domantas Sabonis\sabondo01,PF,24,IND,29,29,36.4,8.2,15.5,.528,1.0,2.8,.358,7.2,12.7,.565,.560,4.1,5.8,.710,2.8,8.8,11.6,5.7,1.0,0.7,3.4,3.6,21.5
6,Malcolm Brogdon\brogdma01,PG,28,IND,29,29,36.0,8.1,18.4,.442,2.7,6.7,.395,5.5,11.7,.469,.514,2.7,2.9,.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6
7,Pascal Siakam\siakapa01,PF,26,TOR,28,28,36.0,7.6,16.6,.455,1.2,4.0,.301,6.4,12.6,.504,.491,4.2,5.1,.813,2.1,5.6,7.7,4.7,1.1,0.7,2.2,3.0,20.5
8,Nikola Jokić\jokicni01,C,25,DEN,30,30,35.9,10.1,18.0,.564,1.5,3.8,.404,8.6,14.2,.607,.607,4.8,5.5,.872,2.9,8.2,11.1,8.5,1.7,0.6,3.4,3.1,26.6
9,Damian Lillard\lillada01,PG,30,POR,29,29,35.8,9.2,20.7,.447,4.1,10.9,.380,5.1,9.8,.523,.548,7.2,7.7,.933,0.5,3.8,4.3,7.9,1.0,0.2,3.2,1.6,29.8
10,Bradley Beal\bealbr01,SG,27,WAS,26,26,35.6,11.6,24.2,.479,2.5,7.3,.335,9.1,16.8,.542,.530,7.3,8.2,.888,1.4,3.9,5.3,4.7,1.4,0.5,3.3,2.6,32.9
11,Zach LaVine\lavinza01,SG,25,CHI,30,30,35.6,10.2,19.7,.518,3.5,8.1,.434,6.7,11.6,.576,.607,4.7,5.4,.864,0.8,4.7,5.4,5.1,1.1,0.4,3.8,2.7,28.6
12,Collin Sexton\sextoco01,SG,22,CLE,26,26,35.6,8.5,17.5,.485,1.5,3.8,.394,7.0,13.7,.510,.527,4.4,5.5,.799,0.7,1.8,2.5,4.2,1.0,0.2,2.6,2.9,22.9
13,Jayson Tatum\tatumja01,SF,22,BOS,25,25,35.5,9.4,21.0,.448,2.8,7.1,.390,6.6,13.9,.478,.514,4.5,5.2,.868,0.6,6.5,7.1,4.6,1.3,0.5,2.5,2.0,26.0
14,Luka Dončić\doncilu01,PG,21,DAL,28,28,35.3,10.0,21.0,.474,2.4,7.3,.333,7.5,13.8,.548,.531,6.4,8.3,.773,0.9,7.7,8.6,9.3,1.0,0.7,4.2,2.1,28.8
15,Harrison Barnes\barneha02,PF,28,SAC,27,27,35.1,5.3,11.0,.480,1.7,4.3,.388,3.6,6.7,.539,.556,3.6,4.3,.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8
16,Gordon Hayward\haywago01,SF,30,CHO,28,28,35.0,8.0,16.4,.489,2.2,5.1,.424,5.8,11.2,.519,.556,3.7,4.3,.867,0.9,4.5,5.4,3.7,1.2,0.4,2.0,1.8,21.9
17,Brandon Ingram\ingrabr01,SF,23,NOP,30,30,35.0,8.3,17.8,.469,2.5,6.4,.394,5.8,11.3,.512,.540,4.7,5.4,.882,0.6,4.7,5.3,4.7,0.7,0.9,2.4,1.8,23.9
18,LeBron James\jamesle01,PG,36,LAL,32,32,35.0,9.7,19.3,.501,2.4,6.8,.355,7.3,12.5,.580,.563,4.1,5.8,.704,0.6,7.7,8.2,8.1,1.0,0.5,3.9,1.6,25.8
19,Jamal Murray\murraja01,PG,23,DEN,28,28,35.0,7.8,16.4,.477,2.5,6.5,.383,5.3,9.9,.540,.553,2.8,3.4,.811,0.7,3.6,4.4,4.4,1.2,0.3,2.2,2.3,20.9
20,Kawhi Leonard\leonaka01,SF,29,LAC,25,25,34.8,9.7,19.2,.506,2.0,5.0,.389,7.8,14.2,.548,.557,5.5,6.2,.885,0.9,5.2,6.1,4.9,1.7,0.6,1.8,1.6,26.9
21,Trae Young\youngtr01,PG,22,ATL,28,28,34.8,7.8,17.6,.439,2.4,6.2,.379,5.4,11.4,.472,.506,9.1,10.3,.885,0.7,3.2,3.9,9.5,0.9,0.3,4.3,2.0,26.9
22,Tobias Harris\harrito02,PF,28,PHI,28,28,34.6,7.9,15.5,.513,1.7,4.3,.403,6.2,11.2,.554,.568,3.0,3.4,.894,1.3,6.4,7.8,3.4,0.8,0.8,2.0,2.2,20.6
23,Devin Booker\bookede01,SG,24,PHO,26,26,34.5,9.0,18.0,.501,2.2,5.7,.381,6.8,12.3,.556,.561,4.5,5.3,.848,0.2,3.5,3.8,4.3,0.8,0.3,3.5,3.1,24.7
24,Buddy Hield\hieldbu01,SG,28,SAC,30,30,34.4,5.3,14.2,.373,3.7,10.3,.361,1.6,3.9,.405,.505,1.5,1.8,.868,0.3,4.2,4.6,3.0,0.9,0.3,1.9,2.7,15.9
25,Kyle Lowry\lowryky01,PG,34,TOR,25,25,34.4,6.0,13.2,.452,2.8,7.1,.388,3.2,6.1,.526,.556,3.0,3.5,.874,0.8,4.6,5.4,6.4,1.2,0.2,2.9,3.2,17.7
26,Stephen Curry\curryst01,PG,32,GSW,30,30,34.1,10.0,20.6,.486,5.0,11.9,.423,5.0,8.7,.573,.608,4.8,5.2,.935,0.5,4.9,5.4,6.2,1.2,0.1,3.1,1.9,29.9
27,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,25,25,34.0,7.8,15.5,.506,1.9,4.7,.407,5.9,10.8,.550,.568,5.2,6.6,.783,0.6,4.5,5.2,6.5,0.8,0.6,2.9,2.2,22.8
28,Bam Adebayo\adebaba01,C,23,MIA,29,29,33.9,7.3,12.9,.570,0.1,0.2,.333,7.3,12.7,.573,.572,4.9,5.8,.844,2.0,7.4,9.5,5.5,0.9,1.0,3.0,2.5,19.6
29,Russell Westbrook\westbru01,PG,32,WAS,21,21,33.9,7.7,18.2,.424,1.1,3.8,.288,6.6,14.4,.460,.454,3.4,5.5,.612,1.8,8.0,9.7,9.7,0.8,0.3,4.9,3.0,19.9
30,Giannis Antetokounmpo\antetgi01,PF,26,MIL,30,30,33.8,10.2,18.5,.551,1.1,3.9,.280,9.1,14.6,.625,.581,6.9,10.5,.654,1.8,10.1,11.9,5.9,1.3,1.3,3.8,3.2,28.4
31,Nikola Vučević\vucevni01,C,30,ORL,31,31,33.8,9.6,20.0,.481,2.5,6.3,.405,7.1,13.7,.517,.545,2.3,2.7,.835,1.9,9.8,11.7,3.6,1.1,0.6,1.6,1.7,24.1
32,RJ Barrett\barrerj01,SG,20,NYK,31,31,33.7,6.4,14.7,.431,1.0,3.3,.311,5.3,11.4,.466,.466,2.9,3.9,.736,1.3,4.8,6.1,3.0,0.7,0.2,1.9,2.5,16.6
